,text
0, AG战胜EDGM# #笑影的西施#
1, 2022KPL夏季赛#常规赛第三轮W2D2
2,【成都AG超玩会 3:1 上海EDG.M】@成都AG超玩会 拿下第四局，获得本场胜利！
3, 前期成都AG找准时机，击杀试图主动出击的东皇太一，随后@AG笑影 西施精准拉人，成都AG接连造成减员，打开局面。
4,中期发育极佳的@AG一诺OVO 公孙离持续输出，成都AG步步推进。决胜团中，@AG忆安 猪八戒扛住大量伤害，成都AG造成减员后，成功破三高，一波直推水晶，获得本场胜利！
5,关注阿毛君，游戏贼开心~
6,大家好，我是阿毛君解说。
7,经过第2轮S组的比赛，成都AG超玩会的问题可以说是暴露了不少，其中就包括选手状态，其中问题最大的自然是上辅，辅助的问题暂且不提，毕竟成都AG也从来就没有过特别好的辅助，整个联盟现在能被人称赞的辅助也只有子阳和阿改，今天想讨论的其实是对抗路的忆安。
8,熟悉成都AG超玩会的粉丝都知道，成都AG超玩会最扎实的分路，自然应该是对抗路，这也是成都AG超玩会曾经选手最多的分路，从最早的VV、无痕，到后来的麟羽、六点六、七年，再到啊泽，在某个时间段，成都AG超玩会的对抗路选手，甚至凑出来打几桌麻将 。
9,而且每一名对抗路选手，都打出了自己的风格和高光战绩，回归前暂且不提，回归后的麟羽李信双四杀、六点六狂铁不死战神、七年的五杀关羽、啊泽的猪王等等，可以说对抗路就从来没有让人担心过。
10,但现在的新人忆安，战边持续拉胯，坦边不断掉点，着实是让粉丝很担忧，而且最为关键的是，在目前的大名单上，成都AG超玩会会的对抗路仅仅只有忆安一人，并没有替补，而且似乎目前的二队，也没有好的对抗路选手。
11,也总有人说，忆安仅仅只是个新人，要求不能太高，的确，忆安虽然进入大名单已经很久了，但真正开始比赛也是从这个赛季才开始，但同样的，未央也是这个赛季才加入成都AG超玩会，其表现却非常出色，只要能够拿到核心位就能打得很好。
12,而且，现在整个比赛的进程已经基本相当于过半，两轮组内循环赛都已经结束了，后面也就只剩下第3轮循环赛和季后赛了，经过这么久的磨练，还没有能够成长起来，甚至可以说，都没有看到明显的进步。
13,不过，这也不能全怪忆安，毕竟成都AG超玩会的对抗路要求非常苛刻，基本上是不会给什么经济的，经济绝大部分都让给了打野，但却还需要承担视野、抗伤、拆火以及开团等作用，可以说吃的是草，挤的是奶，一般的选手确实很难打出来。
14,那么大家觉得，成都AG常委会是否需要在下个赛季引入新的对抗路选手呢？或者说，在现在的上中野版本节奏中，调整传统思路，让出一部分经济给到对抗路呢？
15,以上，就是本期游戏资讯的全部内容了，如果觉得有所收获，求点赞求评论求转发，最重要的是点个大大的关注！我是阿毛君，我们下期见！
16,【本文已申请原创，受到版权保护，未经许可谢绝转载！】
