,text,count
0,Nakoruru (H),125
1,highlands (TE),122
2,JinYu (P),94
3,YaoDao (P),82
4,AnYingBaoJun (TE),75
5,Dominate (TE),75
6,Ukyo Tachibana (H),73
7,FLY,71
8,AnYing (TE),71
9,sweep,63
10,state (TE),62
11,Li Yunfang (H),62
12,Crystal (TE),61
13,fall (TE),61
14,Lam (H),61
15,Yun Ying (H),60
16,Taiyi Zhenren (H),60
17,revival,57
18,Jing (H),55
19,take down (TE),55
20,Ma Chao (H),55
21,Huahai (P),54
22,Xishi (H),53
23,break,53
24,Luna (H),52
25,Marco Polo (H),52
26,FanFan (P),50
27,XiaoPang (P),49
28,Jungle (TE),49
29,Di Renjie (H),49
30,FLASH (TE),48
31,Fuzi (H),48
32,Gongsun Li (H),46
33,triple players,46
34,Zhang Fei (H),45
35,Middle Path (TE),44
36,Luban Master (H),43
37,Bao Jun (TE),43
38,Lu Bu (H),43
39,Shen Mengxi (H),41
40,QingRong (P),40
41,position (TE),40
42,Mai Shiranui (H),40
43,Tigerous (H),39
44,Zhou Yu (H),38
45,Zhu Bajie (H),38
46,Lan Ling Wan (H),38
47,Bottom Path (TE),37
48,Xiahou Dun (H),37
49,Meng Ya (H),36
50,Meng Tian (H),36
51,Rush (TE),35
52,system,35
53,damage (TE),35
54,Jiang Ziya (H),35
55,Aguto (H),35
56,Consort Yu (H),35
57,Guan Yu (H),35
58,Baili Shouyue (H),34
59,Top Path (TE),34
